CustomerID,FirstName,LastName,DateOfBirth,Address,PhoneNumber,City
1,Alexander,Harrington,15/11/1998,"527 Shelley Throughway
Rebeccashire, MD 08099",812-980-2552,London
2,Jaime,Washington,27/07/1919,"747 Ashley Mountains Suite 014
North Dean, KY 25033",430-774-1040,Manchester
3,David,Sampson,24/05/1972,"PSC 5321, Box 9292
APO AE 84802",370-558-2430,Liverpool
4,David,Novak,21/03/1954,"115 Todd Causeway
North Kristaberg, AR 20985",724-778-2907,Liverpool
5,Tony,Chen,08/12/1963,"6928 Navarro Mall
Romanstad, NJ 46944",401-579-6061,Liverpool
6,Taylor,Moreno,16/10/2022,"18197 White Springs Apt. 095
North Lindastad, OK 01587",766-825-9993,Manchester
7,William,Jones,30/05/1914,"2875 Dawn Lights Suite 292
Friedmanmouth, MP 68078",856-692-6830,London
8,Kimberly,Powell,15/10/2008,"14173 Hoffman Flat
South Elizabeth, IA 21150",852-455-7913,Manchester
9,Karen,Hester,07/05/1996,"634 Matthew Trace Suite 336
North Leslie, IA 42229",385-497-3434,Liverpool
10,Teresa,Moore,14/10/1935,"339 Isaiah Point
South Thomas, AK 49843",952-603-9868,Leeds
11,Lindsay,Carrillo,12/03/1926,"5431 Kurt Lock
Lake Ashley, IN 14285",142-143-3106,Portsmouth
12,Jonathan,Robertson,25/09/1920,"1620 Flores Islands
Aimeestad, NJ 96084",515-358-0775,London
13,Cory,Harris,03/05/1970,"9073 Newman Flat
West Melindaton, MA 36154",962-954-7643,Leeds
14,Cody,Steele,17/06/1916,"381 Weber Roads Suite 381
Amyhaven, NE 52737",513-288-7483,Leeds
15,Melinda,Massey,27/04/1962,"41026 Williams Village
Fosterton, PR 67509",936-794-1060,Cambridge
16,Eddie,Simmons,09/03/2013,"3795 Miller Burgs
West Jeffreymouth, DC 38653",748-815-9657,Birmingham
17,Roger,Wilkerson,26/05/2013,"6058 Harry Street Apt. 232
Davilafort, KS 45375",818-567-0092,Liverpool
18,Kevin,Brown,31/05/1994,"USNS Holmes
FPO AA 74422",349-998-8410,Birmingham
19,Tina,Clark,16/04/1968,"Unit 9091 Box 9285
DPO AA 69240",565-296-9903,Portsmouth
20,Christina,Leonard,13/12/1972,"97183 Paul Landing
North Shaneland, MS 46875",703-312-8933,Manchester
21,Brian,Nolan,13/03/1959,"68688 Carey Stream Suite 214
East Danielleborough, MS 73831",352-100-1858,London
22,Debra,Wilson,12/04/1964,"250 Andrew Shores
South Jerome, IL 07912",517-848-4263,Leeds
23,Kathleen,Davis,09/04/1936,"93164 Garcia Unions Apt. 221
Malikbury, DC 91853",582-583-2726,Birmingham
24,Donald,Frey,24/08/1943,"132 Ramirez Ports
Matthewshire, VT 30229",361-338-9548,Cambridge
25,Ryan,Fitzgerald,21/09/1936,"8581 Christopher Ville Suite 989
Norrisshire, MO 88569",986-722-6617,London
26,Daniel,Bradley,25/08/1936,"71544 Evans Expressway Suite 118
South Emilyshire, SC 18910",450-184-3606,Cambridge
27,Jessica,Howell,13/04/1936,"175 Shaffer Rapids Apt. 711
West Phillip, PR 95408",930-527-0642,Liverpool
28,Joe,Fletcher,07/05/1975,"217 Jessica Ranch
Mayerside, VI 62143",530-114-9359,Cambridge
