EmployeeID,Name,Position,BranchID,HireDate
1,Brenda Brady,Branch Manager,3,26/07/2014
2,Amanda Rhodes,Cashier,7,11/11/2020
3,Barbara Walton,Marketing executive,8,10/10/2019
4,Cheryl Terry,Marketing executive,4,26/08/2019
5,Sierra Holland,Marketing executive,8,16/12/2013
6,Vincent Garcia,Branch Manager,7,17/11/2021
7,Tyler Espinoza,Branch Manager,2,28/07/2022
8,Sharon Johnson,Customer Service,5,21/09/2020
9,Anthony Miller,Customer Service,3,15/01/2017
10,Kevin Todd,Customer Service,3,31/05/2019
11,Candice Johnson,Customer Service,4,23/12/2014
12,Steven Gill,Cashier,8,28/01/2016
13,Tammy Manning,Cashier,9,26/08/2019
14,Cassandra Lindsey,Cashier,10,22/08/2022
15,Sean Jacobs,Cashier,8,23/04/2016
16,Daniel Thomas,Marketing executive,10,01/04/2019
17,Samantha Harris,Marketing executive,4,21/04/2017
18,Olivia Poole,Marketing executive,2,11/04/2016
19,Casey Austin,Customer Service,8,23/11/2018
20,Todd Miranda,Customer Service,7,08/04/2022
